Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,4096,1.0046,0.0447515
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,4096,53.69180130958554,2.080985489081914
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,6144,0.984068,0.0400747
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,6144,1.22994,0.043720800000000004
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,6144,55.526461601257374,1.7959738229272482
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,8192,1.38696,0.0475587
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,8192,1.77403,0.051467200000000005
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,8192,57.84410929679877,2.053263522175228
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,16384,2.70391,0.0684633
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,16384,3.29337,0.11075399999999999
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,16384,68.91886115074149,1.7342905821987826
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,128,0.155392,0.0155994
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,128,0.27011799999999997,0.0169162
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,128,47.61079502105716,1.5831806322650412
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,256,0.153569,0.0335784
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,256,0.274294,0.0151565
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,256,53.87716531753537,2.024329579537683
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,512,0.15278599999999998,0.011513299999999999
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,512,0.26958000000000004,0.0123445
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,512,53.88968276977541,2.021575269090072
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,1024,0.170408,0.0154526
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,1024,0.275659,0.0147643
